Date,Temperature,Humidity,Precipitation,WindSpeed,LakeLevel
2025-04-01,12.3,78,1.2,15.4,356.2
2025-04-02,13.1,80,0.0,10.3,356.3
2025-04-03,15.6,75,0.5,8.7,356.5
2025-04-04,16.4,73,0.0,12.1,356.7
2025-04-05,14.2,76,1.8,11.4,356.4
2025-04-06,13.8,82,5.2,9.8,356.0
2025-04-07,11.5,85,10.3,7.2,355.6
2025-04-08,10.9,87,3.1,6.9,355.7
2025-04-09,12.6,81,0.0,8.5,355.8
2025-04-10,14.7,77,0.0,10.1,355.9
2025-04-11,13.2,81,0.0,8.6,355.8
2025-04-12,14.9,78,0.0,8.6,355.7
2025-04-13,14.7,78,0.0,10.2,355.6
2025-04-14,13.4,78,0.0,10.5,355.5
2025-04-15,12.7,81,0.6,11.9,355.4
2025-04-16,10.7,79,6.8,11.9,355.3
2025-04-17,12.5,83,0.0,13.0,355.2
2025-04-18,12.2,84,0.0,14.8,355.1
2025-04-19,11.5,80,0.0,15.1,354.9
2025-04-20,10.6,75,0.0,15.1,354.7
2025-04-21,10.2,74,0.0,15.7,354.5
2025-04-22,9.1,79,0.0,16.7,354.3
2025-04-23,7.4,84,5.0,18.0,354.2
2025-04-24,6.2,82,0.0,17.2,354.0
2025-04-25,5.3,87,7.1,18.2,353.9
2025-04-26,6.3,87,0.0,18.5,353.7
2025-04-27,6.4,82,0.5,20.2,353.5
2025-04-28,7.0,86,0.0,18.6,353.3
2025-04-29,8.5,88,0.0,16.8,353.1
2025-04-30,8.1,87,0.0,17.3,352.9
2025-05-01,9.1,86,0.0,17.0,352.7
2025-05-02,10.6,83,6.3,16.3,352.6
2025-05-03,12.5,79,7.2,15.1,352.5
2025-05-04,14.4,81,9.9,16.6,352.4
2025-05-05,15.4,83,2.1,15.9,352.3
2025-05-06,13.5,88,0.0,16.7,352.1
2025-05-07,12.2,91,0.0,17.2,351.9
2025-05-08,13.4,96,0.0,15.2,351.7
2025-05-09,13.3,92,9.1,15.6,351.6
2025-05-10,12.2,90,0.0,17.0,351.4
2025-05-11,13.7,92,0.0,15.5,351.2
2025-05-12,15.1,92,0.0,16.5,351.0
2025-05-13,14.4,94,0.0,15.2,350.8
2025-05-14,15.6,90,0.0,13.6,350.7
2025-05-15,17.3,92,0.7,11.6,350.6
2025-05-16,15.8,89,2.5,12.0,350.5
2025-05-17,14.5,93,0.0,10.9,350.4
2025-05-18,16.4,91,4.7,9.7,350.3
2025-05-19,18.3,86,5.4,9.2,350.3
2025-05-20,18.6,87,0.0,11.0,350.2
2025-05-21,20.3,90,0.0,12.4,350.1
2025-05-22,20.7,87,0.0,11.7,350.0
2025-05-23,22.0,84,0.0,10.3,349.9
2025-05-24,22.7,80,0.0,12.3,349.8
2025-05-25,22.6,81,0.0,10.3,349.7
2025-05-26,21.0,79,0.0,10.0,349.6
2025-05-27,19.5,84,8.5,9.6,349.6
2025-05-28,20.9,80,0.0,9.4,349.5
2025-05-29,20.3,83,5.3,8.5,349.5
2025-05-30,21.8,85,0.0,7.6,349.4
2025-05-31,23.1,85,7.7,8.9,349.4
2025-06-01,22.2,86,0.0,8.1,349.3
2025-06-02,22.5,87,0.0,7.2,349.2
2025-06-03,23.6,86,3.8,6.4,349.2
2025-06-04,25.1,86,0.0,5.8,349.1
2025-06-05,27.0,88,0.0,6.1,349.0
2025-06-06,25.7,91,5.2,5.9,349.0
2025-06-07,25.8,94,3.4,6.1,349.0
2025-06-08,26.1,92,0.0,6.9,348.9
2025-06-09,24.8,97,0.0,6.8,348.8
2025-06-10,25.9,99,0.0,8.5,348.7
2025-06-11,25.1,95,0.0,8.4,348.6
2025-06-12,23.2,95,0.0,6.8,348.5
2025-06-13,22.0,93,7.2,6.9,348.5
2025-06-14,20.3,91,0.0,7.6,348.4
2025-06-15,20.2,89,0.0,6.1,348.3
2025-06-16,20.1,91,0.0,6.8,348.2
2025-06-17,19.7,89,0.0,6.9,348.1
2025-06-18,19.0,94,8.4,8.1,348.1
2025-06-19,17.3,92,0.0,9.0,348.0
2025-06-20,16.8,88,0.0,9.5,347.9
2025-06-21,14.8,86,0.0,11.2,347.8
2025-06-22,13.4,81,1.1,9.6,347.7
2025-06-23,13.9,83,0.0,9.5,347.6
2025-06-24,12.5,79,0.0,8.3,347.5
2025-06-25,13.9,74,0.0,8.5,347.4
2025-06-26,15.1,77,0.0,10.4,347.3
2025-06-27,16.5,72,1.4,10.2,347.2
2025-06-28,17.4,70,0.0,8.8,347.1
2025-06-29,18.5,73,5.3,8.8,347.1
2025-06-30,17.6,70,0.0,8.8,347.0
2025-07-01,15.8,72,0.0,10.3,346.9
2025-07-02,17.1,71,0.0,8.7,346.8
2025-07-03,18.6,69,6.4,7.0,346.8
2025-07-04,17.8,66,0.8,7.9,346.7
2025-07-05,16.4,64,0.0,8.0,346.6
2025-07-06,16.9,62,0.0,7.0,346.5
2025-07-07,17.9,61,8.5,8.1,346.5
2025-07-08,17.6,66,9.8,7.1,346.5
2025-07-09,17.0,67,0.2,9.1,346.4
2025-07-10,18.5,63,0.9,8.7,346.3
2025-07-11,16.9,59,0.0,7.0,346.2
2025-07-12,17.8,55,0.0,7.0,346.1
2025-07-13,17.1,52,0.0,5.9,346.0
2025-07-14,18.6,54,0.0,5.4,345.9
2025-07-15,19.3,57,0.0,5.6,345.8
2025-07-16,17.4,58,0.0,4.0,345.8
2025-07-17,16.6,62,0.0,2.5,345.8
2025-07-18,14.9,60,0.0,1.1,345.8
2025-07-19,13.0,65,0.0,0.0,345.8
2025-07-20,11.5,62,0.0,0.0,345.8
2025-07-21,11.2,66,0.0,0.0,345.8
2025-07-22,10.5,61,0.0,0.0,345.8
2025-07-23,12.2,60,0.0,2.0,345.8
2025-07-24,10.6,61,1.8,2.3,345.8
2025-07-25,10.6,62,0.0,3.8,345.8
2025-07-26,11.8,61,0.0,5.2,345.7
2025-07-27,11.1,66,0.0,5.5,345.6
2025-07-28,9.3,61,0.0,4.3,345.6
2025-07-29,9.3,56,0.0,2.8,345.6
2025-07-30,8.5,61,0.0,4.5,345.6
2025-07-31,8.1,66,0.0,3.7,345.6
2025-08-01,6.2,63,0.0,2.8,345.6
2025-08-02,5.0,68,0.0,2.3,345.6
2025-08-03,3.4,70,0.0,2.9,345.6
2025-08-04,1.8,66,0.0,1.1,345.6
2025-08-05,2.3,62,0.0,1.4,345.6
2025-08-06,1.6,57,0.0,0.7,345.6
2025-08-07,0.6,56,0.0,0.3,345.6
2025-08-08,-0.8,61,0.0,1.6,345.6
2025-08-09,-0.5,60,0.0,2.2,345.6
2025-08-10,1.2,63,0.4,0.6,345.6
2025-08-11,-0.7,67,0.0,2.2,345.6
2025-08-12,0.6,65,1.7,0.5,345.6
2025-08-13,1.0,67,7.8,0.0,345.7
2025-08-14,1.8,71,0.0,1.6,345.7
2025-08-15,0.1,70,0.0,1.4,345.7
2025-08-16,1.4,65,0.0,3.2,345.7
2025-08-17,-0.6,60,0.0,3.8,345.7
2025-08-18,0.0,58,1.2,5.8,345.7
2025-08-19,-1.4,55,3.0,5.8,345.7
2025-08-20,-3.0,55,0.0,6.7,345.6
2025-08-21,-2.6,56,0.0,8.0,345.5
2025-08-22,-3.2,51,0.0,8.8,345.4
2025-08-23,-4.8,51,0.0,7.1,345.3
2025-08-24,-6.4,50,0.0,5.9,345.2
