Date,Temperature,Windspeed,Humidity,Precipitation,Groundwater
1970-11-01,12.54,29.3,70.46,0.0,
1970-11-02,9.22,19.85,77.79,0.18,
1970-11-03,10.85,22.06,87.21,0.5,
1970-11-04,9.01,28.88,79.04,0.2,
1970-11-05,7.68,24.84,81.33,0.27,
1970-11-06,3.46,16.75,73.54,0.07,
1970-11-07,-0.38,6.59,71.25,0.02,
1970-11-08,-1.95,10.22,85.21,0.0,
1970-11-09,4.89,26.67,85.12,0.15,
1970-11-10,3.2,25.03,75.58,0.14,
1970-11-11,4.4,14.6,90.42,0.15,
1970-11-12,10.35,21.22,81.54,0.0,
1970-11-13,7.73,17.13,75.21,0.06,
1970-11-14,3.75,8.35,92.29,0.19,
1970-11-15,3.73,8.28,93.04,0.0,
1970-11-16,3.64,7.02,93.88,0.02,
1970-11-17,2.98,9.22,86.67,0.0,
1970-11-18,5.78,15.96,88.33,0.08,
1970-11-19,9.22,18.3,82.46,0.09,
1970-11-20,6.89,9.03,91.92,0.0,
1970-11-21,4.62,13.22,93.42,0.0,
1970-11-22,5.23,12.92,97.33,0.28,
1970-11-23,4.77,11.78,93.25,0.1,
1970-11-24,3.38,11.53,90.38,0.0,
1970-11-25,3.27,11.42,90.58,0.0,
1970-11-26,4.86,13.11,90.0,0.0,
1970-11-27,6.41,10.56,97.38,0.01,
1970-11-28,4.92,8.75,96.04,0.01,
1970-11-29,6.19,12.95,84.75,0.13,
1970-11-30,8.48,12.61,91.42,0.22,
1970-12-01,5.97,11.21,93.54,0.02,
1970-12-02,5.86,15.73,91.96,0.04,
1970-12-03,5.04,24.29,87.92,0.4,
1970-12-04,1.19,12.45,87.54,0.0,
1970-12-05,4.86,16.62,91.42,0.1,
1970-12-06,5.62,18.88,81.75,0.0,
1970-12-07,4.84,17.8,83.12,0.04,
1970-12-08,2.95,16.22,83.79,0.02,
1970-12-09,5.5,16.97,91.25,0.01,
1970-12-10,5.47,12.78,97.5,0.02,
1970-12-11,5.58,6.7,95.04,0.0,
1970-12-12,2.9,6.79,93.25,0.0,
1970-12-13,3.0,9.87,94.0,0.0,
1970-12-14,4.56,18.09,92.46,0.06,
1970-12-15,2.34,11.38,85.88,0.02,
1970-12-16,0.63,7.33,95.5,0.0,
1970-12-17,1.24,10.3,92.04,0.0,
1970-12-18,2.6,12.15,93.79,0.08,
1970-12-19,3.3,10.12,95.21,0.0,
1970-12-20,5.2,16.57,95.0,0.01,
1970-12-21,1.4,17.0,90.29,0.15,
1970-12-22,-2.15,10.2,87.25,0.0,
1970-12-23,-1.56,6.35,82.08,0.0,
1970-12-24,-2.12,16.27,79.67,0.0,
1970-12-25,-3.28,11.3,75.38,0.0,
1970-12-26,-4.29,13.45,70.38,0.09,
1970-12-27,-3.93,9.21,79.54,0.02,
1970-12-28,-3.43,20.21,83.88,0.22,
1970-12-29,-2.7,7.44,93.08,0.21,
1970-12-30,-3.8,7.54,93.17,0.1,
1970-12-31,-9.13,11.95,83.38,0.04,
1971-01-01,-12.84,11.7,85.58,0.0,
1971-01-02,-10.15,9.37,84.46,0.0,
1971-01-03,-14.11,8.28,85.38,0.0,
1971-01-04,-12.0,6.92,86.96,0.0,
1971-01-05,-10.26,8.37,88.38,0.0,
1971-01-06,-11.65,8.31,87.75,0.0,
1971-01-07,-9.09,14.25,83.58,0.0,
1971-01-08,-1.8,14.63,82.62,0.0,
1971-01-09,1.2,9.74,91.21,0.0,
1971-01-10,-1.13,9.33,91.88,0.0,
1971-01-11,-5.64,13.97,78.75,0.0,
1971-01-12,-5.3,12.7,83.33,0.0,
1971-01-13,-3.91,10.78,86.83,0.05,
1971-01-14,0.03,14.81,91.71,0.0,
1971-01-15,-0.67,12.15,90.38,0.0,
1971-01-16,0.72,11.75,96.25,0.1,
1971-01-17,1.38,8.78,96.29,0.0,
1971-01-18,-1.05,10.31,93.38,0.0,
1971-01-19,0.7,17.1,87.96,0.01,
1971-01-20,3.1,13.99,92.33,0.09,
1971-01-21,1.53,12.05,93.29,0.0,
1971-01-22,2.47,10.81,92.75,0.08,
1971-01-23,3.9,19.44,85.33,0.02,
1971-01-24,6.49,22.11,78.96,0.15,
1971-01-25,4.59,16.75,83.54,0.0,
1971-01-26,5.74,19.97,82.29,0.12,
1971-01-27,7.38,16.79,86.75,0.22,
1971-01-28,5.27,14.65,90.58,0.12,
1971-01-29,3.69,12.96,90.71,0.17,
1971-01-30,2.6,11.17,90.75,0.02,
1971-01-31,3.38,11.04,89.33,0.0,
1971-02-01,-0.43,15.86,80.29,0.0,
1971-02-02,-1.18,14.98,67.29,0.0,
1971-02-03,1.25,22.76,87.62,0.28,
1971-02-04,-0.22,8.63,86.96,0.0,
1971-02-05,4.01,9.42,96.42,0.01,
1971-02-06,3.9,14.8,91.83,0.07,
1971-02-07,3.53,14.83,94.29,0.08,
1971-02-08,4.74,19.43,94.71,0.1,
1971-02-09,5.3,15.3,92.08,0.12,
1971-02-10,3.61,5.62,92.62,0.06,
1971-02-11,3.1,7.55,92.12,0.0,
1971-02-12,2.48,11.87,85.42,0.0,
1971-02-13,5.55,19.45,86.83,0.18,
1971-02-14,2.82,18.8,77.96,0.02,
1971-02-15,2.49,16.28,74.12,0.0,
1971-02-16,4.32,15.4,75.67,0.0,
1971-02-17,4.24,5.59,88.0,0.04,
1971-02-18,3.29,11.65,83.75,0.04,
1971-02-19,3.57,6.38,85.58,0.0,
1971-02-20,1.57,5.62,87.38,0.0,
1971-02-21,3.26,11.41,78.54,0.02,
1971-02-22,3.72,10.47,93.92,0.1,
1971-02-23,2.07,14.86,88.71,0.09,
1971-02-24,2.0,15.9,89.58,0.22,
1971-02-25,2.58,21.68,80.96,0.11,
1971-02-26,-4.73,18.45,58.04,0.08,
1971-02-27,-4.65,18.33,61.33,0.04,
1971-02-28,-2.96,23.73,82.25,0.31,
1971-03-01,-4.74,11.38,83.96,0.05,
1971-03-02,-7.6,7.12,78.5,0.0,
1971-03-03,-9.43,12.58,76.67,0.0,
1971-03-04,-10.85,10.08,76.21,0.03,
1971-03-05,-8.28,8.95,75.25,0.05,
1971-03-06,-10.45,13.8,80.21,0.0,
1971-03-07,-4.3,15.76,83.17,0.0,
1971-03-08,-0.88,13.62,88.58,0.0,
1971-03-09,1.07,13.25,93.04,0.03,
1971-03-10,-0.04,18.52,77.25,0.06,
1971-03-11,-1.75,34.25,69.38,0.13,
1971-03-12,-3.35,12.76,69.46,0.0,
1971-03-13,4.03,23.92,89.08,0.21,
1971-03-14,4.34,11.3,88.67,0.0,
1971-03-15,4.16,9.83,85.12,0.0,
1971-03-16,4.2,7.48,84.67,0.01,
1971-03-17,5.16,13.25,75.21,0.0,
1971-03-18,7.02,13.57,76.88,0.0,
1971-03-19,9.02,8.06,77.17,0.0,
1971-03-20,7.85,6.12,86.88,0.07,
1971-03-21,9.81,13.63,84.42,0.01,
1971-03-22,5.0,20.88,87.79,0.01,
1971-03-23,1.58,18.97,58.29,0.0,
1971-03-24,2.47,15.27,78.0,0.09,
1971-03-25,6.76,19.85,88.25,0.1,
1971-03-26,5.64,11.7,79.17,0.05,
1971-03-27,3.8,7.57,80.83,0.02,
1971-03-28,2.47,9.22,82.5,0.0,
1971-03-29,2.03,10.41,84.71,0.0,
1971-03-30,4.33,14.29,79.88,0.0,
1971-03-31,5.72,12.42,85.62,0.2,
1971-04-01,9.1,10.66,84.67,0.21,
1971-04-02,9.94,11.77,79.25,0.02,
1971-04-03,9.4,8.85,83.5,0.02,
1971-04-04,9.98,12.02,81.46,0.0,
1971-04-05,9.9,14.11,88.92,0.12,
1971-04-06,7.48,12.6,96.83,0.1,
1971-04-07,8.51,6.04,84.5,0.0,
1971-04-08,9.22,7.11,78.29,0.0,
1971-04-09,9.22,12.23,79.21,0.0,
1971-04-10,7.93,10.12,77.75,0.0,
1971-04-11,6.96,7.57,80.38,0.0,
1971-04-12,6.06,12.36,84.25,0.0,
1971-04-13,7.69,12.3,74.71,0.0,
1971-04-14,4.98,5.97,64.17,0.0,
1971-04-15,6.38,6.1,72.75,0.0,
1971-04-16,9.88,9.71,74.71,0.02,
1971-04-17,8.62,14.33,80.33,0.33,
1971-04-18,6.93,12.34,66.04,0.0,
1971-04-19,10.56,7.15,67.83,0.0,
1971-04-20,10.62,9.06,74.38,0.02,
1971-04-21,11.15,5.18,72.67,0.0,
1971-04-22,11.65,11.51,66.54,0.0,
1971-04-23,12.82,20.25,63.5,0.0,
1971-04-24,8.89,21.99,69.0,0.18,
1971-04-25,5.76,14.74,76.29,0.17,
1971-04-26,3.37,8.1,77.88,0.05,
1971-04-27,1.54,13.34,89.71,0.33,
1971-04-28,4.15,11.22,73.17,0.06,
1971-04-29,5.11,19.53,73.38,0.07,
1971-04-30,5.36,13.64,62.08,0.0,
1971-05-01,5.69,16.25,60.75,0.0,
1971-05-02,7.27,15.98,59.54,0.0,
1971-05-03,8.81,8.69,63.58,0.0,
1971-05-04,9.13,7.53,68.29,0.0,
1971-05-05,9.48,12.4,73.25,0.0,
1971-05-06,10.65,11.72,65.92,0.0,
1971-05-07,11.8,13.32,69.21,0.0,
